Category,Brand,SKU,Description,Region,Distributor,Region Parent,Sales Value,SOH Value,Sales Qty,SOH Qty,Sales Volume,SOH Volume
BISCUITS,ASSORTED & OTHERS,0030597,ALL TIME 8X800G,Brunei,Malar Setia,East Malaysia,0,0,0,0,0.00000000000000000000,0
BISCUITS,ASSORTED & OTHERS,0030597,ALL TIME 8X800G,Central,Lien Hing,West Malaysia,214716.4464,44419.56,2289.250,469.75,14651.20000000000000000000,3006.4000000000000000
BISCUITS,ASSORTED & OTHERS,0030597,ALL TIME 8X800G,East Coast,CLF - KTN,West Malaysia,0,0,0,0,0.00000000000000000000,0.00000000000000000000
BISCUITS,ASSORTED & OTHERS,0030597,ALL TIME 8X800G,Langkawi,Teow Soon Huat,East Malaysia,0,0,0,0,0.00000000000000000000,0
BISCUITS,ASSORTED & OTHERS,0030597,ALL TIME 8X800G,Sabah,Moh Heng Sabah,East Malaysia,0,0,0,0,0.00000000000000000000,0
BISCUITS,ASSORTED & OTHERS,0030597,ALL TIME 8X800G,Sarawak,Moh Heng Sarawak,East Malaysia,2723.995,0,31.125,0,199.20000000000000000000,0
BISCUITS,ASSORTED & OTHERS,0030598,LAGENDA 8X800G,Brunei,Malar Setia,East Malaysia,0,0,0,0,0.00000000000000000000,0
BISCUITS,ASSORTED & OTHERS,0030598,LAGENDA 8X800G,Central,Lien Hing,West Malaysia,81202.4544,10484.34,862.750,110.875,5521.60000000000000000000,709.6000000000000000
BISCUITS,ASSORTED & OTHERS,0030598,LAGENDA 8X800G,East Coast,CLF - KTN,West Malaysia,0,0,0,0,0.00000000000000000000,0.00000000000000000000
BISCUITS,ASSORTED & OTHERS,0030598,LAGENDA 8X800G,Sabah,Moh Heng Sabah,East Malaysia,24.82,0.00,0.25,0,1.60000000000000000000,0.00000000000000000000
BISCUITS,ASSORTED & OTHERS,0030598,LAGENDA 8X800G,Sarawak,Moh Heng Sarawak,East Malaysia,3847.10,0,38.750,0,248.00000000000000000000,0
BISCUITS,ASSORTED & OTHERS,0962318,ALL TIME - NEW MIX 1X8X800G,Brunei,Malar Setia,East Malaysia,26820.2487168,49292.208,273.125,464.25,1748.00000000000000000000,2971.2000000000000000
BISCUITS,ASSORTED & OTHERS,0962318,ALL TIME - NEW MIX 1X8X800G,East Coast,CLF - KTN,West Malaysia,18399.012,10342.50,196.625,109.375,1258.40000000000000000000,700.0000000000000000
BISCUITS,ASSORTED & OTHERS,0962318,ALL TIME - NEW MIX 1X8X800G,East Coast,CLF - MTK,West Malaysia,12805.3152,6335.52,135.750,67,868.80000000000000000000,428.8000000000000000
BISCUITS,ASSORTED & OTHERS,0962318,ALL TIME - NEW MIX 1X8X800G,East Coast,Vision - KT,West Malaysia,13262.7492,4302.48,140.375,45.5,898.40000000000000000000,291.2000000000000000
BISCUITS,ASSORTED & OTHERS,0962318,ALL TIME - NEW MIX 1X8X800G,East Coast,Vision - TM,West Malaysia,32673.7896,17233.56,347.125,182.25,2221.60000000000000000000,1166.4000000000000000
BISCUITS,ASSORTED & OTHERS,0962318,ALL TIME - NEW MIX 1X8X800G,Labuan,Sky Trading,East Malaysia,10126.56,20315.17,104.0,204.625,665.60000000000000000000,1309.6000000000000000
